"Types","Predator_median","Predator_mean","Prey_median","Prey_mean","Size_Ratio_median","Size_Ratio_mean"
"predacious/piscivorous",590,764.634782608696,13.6,21.8908024844721,0.0244705882352941,0.0473234482936906
"piscivorous",2900,19181.42434702,6.16,39.2207782482792,0.00363636363636364,0.0339626295963747
"planktivorous",0.0216,2796.97195938687,8.72e-07,0.534151423090122,5.4054054054054e-05,0.277309597045255
"predacious",609,10431.6848345828,0.218,13.9816173491183,0.000250786323720015,0.0566180802762985
"insectivorous",0.9585,5.57075,0.0442,0.111269125,0.0731837606837607,0.169393090293328
