"Estimate","Std. Error","t value","Pr(>|t|)"
0.15345564352213,1949.4290788901,7.87182489395815e-05,0.999937192374792
-0.148000227698404,4435.31342853877,-3.33686063190269e-05,0.999973375895051
0.314590253871127,2343.48706714057,0.000134240234683683,0.999892892557383
0.186301890005573,2090.19454058095,8.91313637982194e-05,0.999928883970801
-0.0819362511719259,4489.20558330966,-1.82518375804742e-05,0.999985437244976
-0.0212445336242683,3360.84186501015,-6.32119405719319e-06,0.999994956453008
1.12654435287318,16541.4542535064,6.81043114836398e-05,0.999945661010891
0.0370943584029482,2417.51119192282,1.53440275796384e-05,0.999987757325051
0.42117333924465,2171.38570651576,0.000193965235186369,0.999845239243819
3686.2418931895,3174.13678297387,1.16133681225162,0.24551290257764
727.125854724627,3619.99892056889,0.200863555674861,0.840806436520475
5782.26033746841,4733.76284114033,1.22149345700544,0.221907497852427
2017.69537535474,1961.97823287739,1.02839845088171,0.303769568830792
1780.33569759565,1976.4344557861,0.900781552549662,0.367710697603021
241265.124321962,3360.84186500768,71.7871099006352,0
286874.846544003,6125.98588959209,46.8291719429841,0
-0.148863923722399,2242.65901366231,-6.63783137853407e-05,0.999947038147932
785.516447256631,3006.57380841032,0.261266310861652,0.793888687245202
376.077331759618,2837.14622387117,0.13255479347359,0.894546251093294
11.8960443604597,5548.17242363169,0.00214413746584193,0.998289239393491
6.10740799628296,2500.63545703122,0.00244234239705364,0.998051308614965
1254.5210541613,2014.53485156951,0.622734847790751,0.533462850303758
21154.429213153,2021.67333788718,10.4638216356264,1.38197239365881e-25
31796.3682835085,2776.81478120073,11.4506622835533,2.64372097802449e-30
20358.2099981677,2017.71573342221,10.0897315022858,6.61535642149649e-24
113073.711743787,2131.32717708604,53.0531928459624,0
225124.846544392,5126.91200017768,43.9104175255184,0
17.9058372954121,2370.07165007055,0.00755497720707268,0.993972100882876
-0.138221635077316,3848.8065553428,-3.59128558657853e-05,0.999971345892171
2.55654435160249,16541.4542535067,0.000154553784233361,0.99987668480617
1.88375366462022,4043.51516634571,0.000465870310144687,0.999628291950076
264444.290988675,3234.57601663299,81.7554726272738,0
167999.84654428,10570.1489000144,15.8938013204385,1.10681406354284e-56
151445.34782967,2277.61282629661,66.493016759095,0
137262.008706445,4287.78591614008,32.0123278985929,1.1994590103581e-221
70.4294776975699,3315.9400883142,0.0212396713516545,0.983054589752359
93.4947022497127,4242.79349402683,0.0220361189818308,0.982419269806228
-0.0620984800908142,5431.14746527266,-1.1433767999834e-05,0.999990877238434
101656.271125389,2303.83265003412,44.1248504416686,0
122718.239779046,2222.87185736088,55.2070688972347,0
5559.8465443697,1995.3499418935,2.78640173717781,0.00533255616113478
5559.84654436095,2167.18338332734,2.56547119507015,0.0103077187598506
0.171923832299876,2051.98574508069,8.3784126040854e-05,0.999933150418653
96712.3465443696,6125.98588959609,15.787229727156,5.95483257237663e-56
29774.3293029809,4733.76284114332,6.28978051967422,3.21679456195292e-10
195532.45524002,2206.07201020392,88.6337591590884,0
214071.275115782,8993.97247613101,23.8016377839606,3.15262794847276e-124
5.41729436607876,4545.76598898085,0.00119172310655906,0.999049149573365
14.2247261842548,7270.37501373855,0.00195653266267213,0.998438924981655
0.506898449415467,2880.4972345778,0.000175976023629047,0.999859592454851
2.04038285319899,2226.72339103396,0.000916316261559345,0.999268890745049
-0.148970661442935,2505.13101353479,-5.94662157939333e-05,0.999952553164659
-0.138817205968889,2481.28501992526,-5.59456913873887e-05,0.99995536211659
0.0675538898898335,5431.14746527387,1.2438235257239e-05,0.999990075795262
